id,category,question,answer
1,Admissions,"What are the admission requirements for undergraduate programs?","Applicants must have completed intermediate or A-Levels with a minimum of 50% marks. Some programs may require higher grades. Entry test results may also be required depending on the selected program."
2,Admissions,"What is the minimum CGPA required to maintain enrollment?","Students must maintain a minimum CGPA of 2.0 on a 4.0 scale to remain in good academic standing. Students falling below this threshold may be placed on academic probation."
3,Admissions,"Is there an entry test required for admission?","Yes. Most undergraduate programs require you to appear in the university entry test. Test dates and syllabi are published on the admissions portal at the start of each admission cycle."
4,Admissions,"Can I apply if I have a gap year after intermediate?","Yes. Gap year applicants are eligible to apply. You will be required to provide a brief explanation of the gap year during the application process."
5,Admissions,"Does the university offer admission in spring semester?","Admissions are primarily offered in the fall semester. Limited seats may be available in the spring semester for specific programs. Check the official admissions portal for current availability."
6,Programs,"What undergraduate programs are offered at the university?","The university offers undergraduate programs in Computer Science, Software Engineering, Electrical Engineering, Business Administration, and several other disciplines. Visit the academic departments section for the complete program list."
7,Programs,"What is the duration of the BS program?","BS programs are typically four years in duration, divided into eight semesters. Some programs may have a different structure. Consult your department for the specific program plan."
8,Programs,"Are postgraduate programs available?","Yes. The university offers MS and MBA programs in selected disciplines. Admission to postgraduate programs requires a relevant undergraduate degree and meeting the specified eligibility criteria."
9,Programs,"Is the Computer Science program accredited?","The BS Computer Science program is accredited by the relevant national accreditation body. Accreditation details are available on the university website under the academics section."
10,Programs,"Can I change my program after admission?","Program transfer requests may be considered after the completion of the first semester. Requests are subject to seat availability in the requested program and meeting the academic requirements of that program."
11,Application Process,"How do I apply for admission?","Applications must be submitted through the official online admissions portal. You will need to create an account, fill in the application form, upload required documents, and pay the application processing fee."
12,Application Process,"What is the application deadline for the fall semester?","Applications for the fall semester are typically due by the end of July. Exact dates are announced on the admissions portal at the beginning of each admission cycle. Late applications are generally not accepted."
13,Application Process,"What documents are required during the application process?","Required documents typically include: matriculation and intermediate certificates with marksheets, a copy of your CNIC or B-Form, two passport-sized photographs, and the entry test result if applicable."
14,Application Process,"How will I know if my application has been accepted?","Applicants are notified via email and through the admissions portal. Merit lists are also published on the university website. Ensure your contact information is correct at the time of application."
15,Application Process,"Can I apply for multiple programs at the same time?","Yes. You may indicate your program preferences during the application. Admission is offered based on merit and seat availability in the order of your stated preferences."
16,Fees,"How much is the university tuition fee?","Tuition fees vary by program and semester credit hours. A detailed fee structure is available on the university website under the finance section. Fees are typically charged per credit hour or as a semester lump sum depending on the program."
17,Fees,"What is the application processing fee?","An application processing fee is required at the time of submission. The current fee amount is specified on the admissions portal. This fee is non-refundable regardless of admission outcome."
18,Fees,"Are there any additional charges beyond tuition?","Yes. Additional charges may include examination fees, library fees, laboratory fees, and student activity fees. A complete breakdown of all charges is provided in the official fee schedule published each semester."
19,Fees,"What are the payment methods accepted for fee submission?","Fees can be paid via bank challan at designated bank branches or through the online payment system integrated into the student portal. Credit and debit card payments may also be accepted depending on current arrangements."
20,Fees,"Is there a fee installment facility available?","Limited installment facilities may be available for students facing financial hardship. Requests must be submitted to the finance office with supporting documentation. Approval is at the discretion of the university administration."
21,Scholarships,"What scholarships are available for students?","The university offers need-based and merit-based scholarships. Additionally, scholarships funded by the Higher Education Commission and other external bodies may be available. Details are published on the scholarship portal."
22,Scholarships,"How do I apply for a scholarship?","Scholarship applications are submitted through the student portal during the announced application window. You will need to provide academic records and, for need-based scholarships, supporting financial documentation."
23,Scholarships,"What minimum CGPA is required to qualify or apply for a merit scholarship?","Merit-based scholarships typically require a minimum CGPA of 3.5 on a 4.0 scale. Some scholarships may have a higher threshold. Eligibility criteria are specified for each individual scholarship scheme."
24,Scholarships,"Can first-year students apply for scholarships?","Yes. Certain scholarships are available to first-year students based on intermediate result merit. Continuing-student scholarships are awarded based on university academic performance."
25,Scholarships,"What minimum CGPA must I maintain to keep my scholarship after it is awarded?","Students must maintain the minimum CGPA specified by their scholarship scheme to retain the scholarship. For merit-based scholarships, the required CGPA is typically 3.5 on a 4.0 scale, although requirements may vary by scholarship. Falling below the required threshold may result in discontinuation"
26,Campus,"Where is the university campus located?","The university campus is located in Islamabad. A campus is also present in Multan. Specific campus addresses and maps are available on the official university website."
27,Campus,"What facilities are available on campus?","Campus facilities include fully equipped computer labs, a library, cafeteria, sports complex, prayer area, and student activity spaces. Hostel accommodation is available separately for eligible students."
28,Campus,"Is hostel accommodation available?","Yes. Separate hostel facilities are available for male and female students on a limited-seat basis. Hostel allocation is subject to availability and eligibility. Applications are submitted through the student services office."
29,Campus,"Is there a transport facility provided by the university?","Transport services are available on select routes. Route schedules and applicable charges are announced at the start of each semester. Contact the student services office for current route information."
30,Campus,"Are there any student clubs or extracurricular activities?","Yes. The university has active student societies covering areas including technology, entrepreneurship, sports, and cultural activities. Students are encouraged to participate and can register with relevant societies through the student affairs office."
